date,year,week,ili_rate,region_name,month,quarter,day_of_year,is_winter,is_flu_season
2018-10-01,2018,40,1.48324,California,10,4,274,0,1
2018-10-08,2018,41,1.27218,California,10,4,281,0,1
2018-10-15,2018,42,1.42798,California,10,4,288,0,1
2018-10-22,2018,43,1.62584,California,10,4,295,0,1
2018-10-29,2018,44,1.76401,California,10,4,302,0,1
2018-11-05,2018,45,1.86635,California,11,4,309,0,1
2018-11-12,2018,46,2.07476,California,11,4,316,0,1
2018-11-19,2018,47,2.07785,California,11,4,323,0,1
2018-11-26,2018,48,2.35193,California,11,4,330,0,1
2018-12-03,2018,49,2.55125,California,12,4,337,1,1
2018-12-10,2018,50,2.90103,California,12,4,344,1,1
2018-12-17,2018,51,3.15841,California,12,4,351,1,1
2018-12-24,2018,52,3.35655,California,12,4,358,1,1
2019-01-07,2019,1,3.3413,California,1,1,7,1,1
2019-01-14,2019,2,3.14047,California,1,1,14,1,1
2019-01-21,2019,3,2.87537,California,1,1,21,1,1
2019-01-28,2019,4,2.74367,California,1,1,28,1,1
2019-02-04,2019,5,3.25349,California,2,1,35,1,1
2019-02-11,2019,6,3.26858,California,2,1,42,1,1
2019-02-18,2019,7,3.77301,California,2,1,49,1,1
2019-02-25,2019,8,3.40884,California,2,1,56,1,1
2019-03-04,2019,9,3.59746,California,3,1,63,0,1
2019-03-11,2019,10,3.52475,California,3,1,70,0,1
2019-03-18,2019,11,3.36917,California,3,1,77,0,1
2019-03-25,2019,12,3.48291,California,3,1,84,0,1
2019-04-01,2019,13,2.96381,California,4,2,91,0,1
2019-04-08,2019,14,2.9268,California,4,2,98,0,1
2019-04-15,2019,15,2.40137,California,4,2,105,0,1
2019-04-22,2019,16,2.27985,California,4,2,112,0,1
2019-04-29,2019,17,2.02365,California,4,2,119,0,1
2019-05-06,2019,18,1.62147,California,5,2,126,0,0
2019-05-13,2019,19,1.8175,California,5,2,133,0,0
2019-05-20,2019,20,1.63414,California,5,2,140,0,0
2019-05-27,2019,21,1.54355,California,5,2,147,0,0
2019-06-03,2019,22,1.68956,California,6,2,154,0,0
2019-06-10,2019,23,1.53268,California,6,2,161,0,0
2019-06-17,2019,24,1.44924,California,6,2,168,0,0
2019-06-24,2019,25,1.24964,California,6,2,175,0,0
2019-07-01,2019,26,1.22439,California,7,3,182,0,0
2019-07-08,2019,27,1.00449,California,7,3,189,0,0
2019-07-15,2019,28,0.899837,California,7,3,196,0,0
2019-07-22,2019,29,0.911741,California,7,3,203,0,0
2019-07-29,2019,30,0.898999,California,7,3,210,0,0
2019-08-05,2019,31,0.834614,California,8,3,217,0,0
2019-08-12,2019,32,0.99623,California,8,3,224,0,0
2019-08-19,2019,33,0.816787,California,8,3,231,0,0
2019-08-26,2019,34,0.785307,California,8,3,238,0,0
2019-09-02,2019,35,1.00916,California,9,3,245,0,0
2019-09-09,2019,36,1.01946,California,9,3,252,0,0
2019-09-16,2019,37,1.11862,California,9,3,259,0,0
2019-09-23,2019,38,1.14106,California,9,3,266,0,0
2019-09-30,2019,39,1.13509,California,9,3,273,0,0
2019-10-07,2019,40,1.36062,California,10,4,280,0,1
2019-10-14,2019,41,1.51557,California,10,4,287,0,1
2019-10-21,2019,42,1.63204,California,10,4,294,0,1
2019-10-28,2019,43,1.73687,California,10,4,301,0,1
2019-11-04,2019,44,1.86748,California,11,4,308,0,1
2019-11-11,2019,45,2.19393,California,11,4,315,0,1
2019-11-18,2019,46,2.44212,California,11,4,322,0,1
2019-11-25,2019,47,2.39551,California,11,4,329,0,1
2019-12-02,2019,48,2.74306,California,12,4,336,1,1
2019-12-09,2019,49,2.75482,California,12,4,343,1,1
2019-12-16,2019,50,2.76788,California,12,4,350,1,1
2019-12-23,2019,51,3.2334,California,12,4,357,1,1
2019-12-30,2019,52,4.69895,California,12,4,364,1,1
2020-01-06,2020,1,4.86718,California,1,1,6,1,1
2020-01-13,2020,2,4.15263,California,1,1,13,1,1
2020-01-20,2020,3,4.3026,California,1,1,20,1,1
2020-01-27,2020,4,4.80273,California,1,1,27,1,1
2020-02-03,2020,5,4.98209,California,2,1,34,1,1
2020-02-10,2020,6,5.05518,California,2,1,41,1,1
2020-02-17,2020,7,4.80201,California,2,1,48,1,1
2020-02-24,2020,8,4.5141,California,2,1,55,1,1
2020-03-02,2020,9,4.22932,California,3,1,62,0,1
2020-03-09,2020,10,3.99147,California,3,1,69,0,1
2020-03-16,2020,11,4.27011,California,3,1,76,0,1
2020-03-23,2020,12,4.92236,California,3,1,83,0,1
2020-03-30,2020,13,3.62004,California,3,1,90,0,1
2020-04-06,2020,14,2.59626,California,4,2,97,0,1
2020-04-13,2020,15,2.07578,California,4,2,104,0,1
2020-04-20,2020,16,1.55867,California,4,2,111,0,1
2020-04-27,2020,17,1.28651,California,4,2,118,0,1
2020-05-04,2020,18,1.25852,California,5,2,125,0,0
2020-05-11,2020,19,1.11124,California,5,2,132,0,0
2020-05-18,2020,20,1.13358,California,5,2,139,0,0
2020-05-25,2020,21,1.06059,California,5,2,146,0,0
2020-06-01,2020,22,1.03612,California,6,2,153,0,0
2020-06-08,2020,23,0.841184,California,6,2,160,0,0
2020-06-15,2020,24,0.86893,California,6,2,167,0,0
2020-06-22,2020,25,0.990463,California,6,2,174,0,0
2020-06-29,2020,26,1.32841,California,6,2,181,0,0
2020-07-06,2020,27,1.53377,California,7,3,188,0,0
2020-07-13,2020,28,1.62184,California,7,3,195,0,0
2020-07-20,2020,29,1.55256,California,7,3,202,0,0
2020-07-27,2020,30,1.38562,California,7,3,209,0,0
2020-08-03,2020,31,1.41639,California,8,3,216,0,0
2020-08-10,2020,32,1.18256,California,8,3,223,0,0
2020-08-17,2020,33,1.00019,California,8,3,230,0,0
2020-08-24,2020,34,0.798982,California,8,3,237,0,0
2020-08-31,2020,35,0.810917,California,8,3,244,0,0
2020-09-07,2020,36,0.799791,California,9,3,251,0,0
2020-09-14,2020,37,0.846416,California,9,3,258,0,0
2020-09-21,2020,38,0.784046,California,9,3,265,0,0
2020-09-28,2020,39,0.896579,California,9,3,272,0,0
2020-10-05,2020,40,0.849375,California,10,4,279,0,1
2020-10-12,2020,41,1.04313,California,10,4,286,0,1
2020-10-19,2020,42,0.992639,California,10,4,293,0,1
2020-10-26,2020,43,0.995457,California,10,4,300,0,1
2020-11-02,2020,44,1.15562,California,11,4,307,0,1
2020-11-09,2020,45,1.2992,California,11,4,314,0,1
2020-11-16,2020,46,1.42337,California,11,4,321,0,1
2020-11-23,2020,47,1.577,California,11,4,328,0,1
2020-11-30,2020,48,1.95649,California,11,4,335,0,1
2020-12-07,2020,49,1.74149,California,12,4,342,1,1
2020-12-14,2020,50,1.96875,California,12,4,349,1,1
2020-12-21,2020,51,1.99653,California,12,4,356,1,1
2020-12-28,2020,52,2.18971,California,12,4,363,1,1
2021-01-04,2020,53,2.04121,California,1,1,4,1,1
2021-01-04,2021,1,1.83407,California,1,1,4,1,1
2021-01-11,2021,2,1.5608,California,1,1,11,1,1
2021-01-18,2021,3,1.27109,California,1,1,18,1,1
2021-01-25,2021,4,1.13856,California,1,1,25,1,1
2021-02-01,2021,5,1.05363,California,2,1,32,1,1
2021-02-08,2021,6,0.896876,California,2,1,39,1,1
2021-02-15,2021,7,0.80568,California,2,1,46,1,1
2021-02-22,2021,8,0.843978,California,2,1,53,1,1
2021-03-01,2021,9,0.820181,California,3,1,60,0,1
2021-03-08,2021,10,0.75457,California,3,1,67,0,1
2021-03-15,2021,11,0.739377,California,3,1,74,0,1
2021-03-22,2021,12,0.810404,California,3,1,81,0,1
2021-03-29,2021,13,0.780964,California,3,1,88,0,1
2021-04-05,2021,14,0.78613,California,4,2,95,0,1
2021-04-12,2021,15,0.898389,California,4,2,102,0,1
2021-04-19,2021,16,0.840497,California,4,2,109,0,1
2021-04-26,2021,17,0.933159,California,4,2,116,0,1
2021-05-03,2021,18,0.999044,California,5,2,123,0,0
2021-05-10,2021,19,1.10909,California,5,2,130,0,0
2021-05-17,2021,20,1.10484,California,5,2,137,0,0
2021-05-24,2021,21,1.143,California,5,2,144,0,0
2021-05-31,2021,22,1.04082,California,5,2,151,0,0
2021-06-07,2021,23,1.10162,California,6,2,158,0,0
2021-06-14,2021,24,1.07722,California,6,2,165,0,0
2021-06-21,2021,25,1.1542,California,6,2,172,0,0
2021-06-28,2021,26,1.26081,California,6,2,179,0,0
2021-07-05,2021,27,1.30785,California,7,3,186,0,0
2021-07-12,2021,28,1.62858,California,7,3,193,0,0
2021-07-19,2021,29,1.67886,California,7,3,200,0,0
2021-07-26,2021,30,1.87683,California,7,3,207,0,0
2021-08-02,2021,31,2.09526,California,8,3,214,0,0
2021-08-09,2021,32,2.13527,California,8,3,221,0,0
2021-08-16,2021,33,2.35846,California,8,3,228,0,0
2021-08-23,2021,34,2.3347,California,8,3,235,0,0
2021-08-30,2021,35,2.72293,California,8,3,242,0,0
