date,year,week,ili_rate,region_name,month,quarter,day_of_year,is_winter,is_flu_season,ili_rate_lag_1,ili_rate_lag_2,ili_rate_lag_4,ili_rate_rolling_mean_2,ili_rate_rolling_std_2,ili_rate_rolling_min_2,ili_rate_rolling_max_2,ili_rate_rolling_mean_4,ili_rate_rolling_std_4,ili_rate_rolling_min_4,ili_rate_rolling_max_4,ili_rate_rolling_mean_8,ili_rate_rolling_std_8,ili_rate_rolling_min_8,ili_rate_rolling_max_8,month_sin,month_cos,week_sin,week_cos,season_winter,season_spring,season_summer,season_fall,year_normalized,ili_rate_diff_1,ili_rate_diff_2,ili_rate_momentum,state_California,state_Florida,state_Illinois,state_Massachusetts,state_New Jersey,state_New York,state_Texas,state_Washington
2018-10-01,2018,40,1.48324,California,10,4,274,0,1,,,,,,,,,,,,,,,,-0.8660254037844386,0.5000000000000001,-0.992708874098054,0.1205366802553232,0,0,0,1,0.0,,,,True,False,False,False,False,False,False,False
2018-10-08,2018,41,1.27218,California,10,4,281,0,1,1.48324,,,1.48324,,1.48324,1.48324,1.48324,,1.48324,1.48324,1.48324,,1.48324,1.48324,-0.8660254037844386,0.5000000000000001,-0.9709418174260521,0.23931566428755738,0,0,0,1,0.0,-0.2110599999999998,,-0.2110599999999998,True,False,False,False,False,False,False,False
2018-10-15,2018,42,1.42798,California,10,4,288,0,1,1.27218,1.48324,,1.37771,0.14924195723723258,1.27218,1.48324,1.37771,0.14924195723723258,1.27218,1.48324,1.37771,0.14924195723723258,1.27218,1.48324,-0.8660254037844386,0.5000000000000001,-0.9350162426854148,0.35460488704253557,0,0,0,1,0.0,0.15579999999999994,-0.055259999999999865,0.05027000000000004,True,False,False,False,False,False,False,False
2018-10-22,2018,43,1.62584,California,10,4,295,0,1,1.42798,1.27218,,1.3500800000000002,0.11016723650886398,1.27218,1.42798,1.3944666666666665,0.10944833727989343,1.27218,1.48324,1.3944666666666665,0.10944833727989343,1.27218,1.48324,-0.8660254037844386,0.5000000000000001,-0.8854560256532101,0.464723172043768,0,0,0,1,0.0,0.19785999999999992,0.35365999999999986,0.23137333333333343,True,False,False,False,False,False,False,False
2018-10-29,2018,44,1.76401,California,10,4,302,0,1,1.62584,1.42798,1.48324,1.52691,0.13990814772556998,1.42798,1.62584,1.45231,0.14618263873205548,1.27218,1.62584,1.45231,0.14618263873205548,1.27218,1.62584,-0.8660254037844386,0.5000000000000001,-0.822983865893657,0.5680647467311548,0,0,0,1,0.0,0.13817000000000013,0.33603000000000005,0.3117000000000001,True,False,False,False,False,False,False,False
2018-11-05,2018,45,1.86635,California,11,4,309,0,1,1.76401,1.62584,1.27218,1.694925,0.09770094395654498,1.62584,1.76401,1.5225025,0.21648738875894522,1.27218,1.76401,1.51465,0.18830401190627882,1.27218,1.76401,-0.5000000000000004,0.8660254037844384,-0.7485107481711011,0.6631226582407953,0,0,0,1,0.0,0.10233999999999988,0.24051,0.34384749999999986,True,False,False,False,False,False,False,False
2018-11-12,2018,46,2.07476,California,11,4,316,0,1,1.86635,1.76401,1.42798,1.81518,0.07236530798663067,1.76401,1.86635,1.671045,0.18965813147169153,1.42798,1.86635,1.5732666666666668,0.22131923184998328,1.27218,1.86635,-0.5000000000000004,0.8660254037844384,-0.6631226582407956,0.7485107481711007,0,0,0,1,0.0,0.20840999999999998,0.31074999999999986,0.40371500000000005,True,False,False,False,False,False,False,False
2018-11-19,2018,47,2.07785,California,11,4,323,0,1,2.07476,1.86635,1.62584,1.970555,0.14736812426708804,1.86635,2.07476,1.83274,0.18906324814728048,1.62584,2.07476,1.6449085714285714,0.27703147765964375,1.27218,2.07476,-0.5000000000000004,0.8660254037844384,-0.5680647467311559,0.8229838658936564,0,0,0,1,0.0,0.003090000000000259,0.21150000000000024,0.24511000000000016,True,False,False,False,False,False,False,False
2018-11-26,2018,48,2.35193,California,11,4,330,0,1,2.07785,2.07476,1.76401,2.076305,0.0021849599538280107,2.07476,2.07785,1.9457425000000002,0.15644783739317145,1.76401,2.07785,1.69902625,0.2986845285551535,1.27218,2.07785,-0.5000000000000004,0.8660254037844384,-0.4647231720437684,0.88545602565321,0,0,0,1,0.0,0.27407999999999966,0.2771699999999999,0.4061874999999997,True,False,False,False,False,False,False,False
2018-12-03,2018,49,2.55125,California,12,4,337,1,1,2.35193,2.07785,1.86635,2.2148899999999996,0.19380382658760764,2.07785,2.35193,2.0927225,0.1991455744549707,1.86635,2.35193,1.8076124999999998,0.3605311448305918,1.27218,2.35193,-2.4492935982947064e-16,1.0,-0.35460488704253595,0.9350162426854147,1,0,0,0,0.0,0.19932000000000016,0.4733999999999998,0.4585275000000002,True,False,False,False,False,False,False,False
2018-12-10,2018,50,2.90103,California,12,4,344,1,1,2.55125,2.35193,2.07476,2.4515899999999995,0.1409405236260998,2.35193,2.55125,2.2639475,0.23145038091349174,2.07476,2.55125,1.9674962500000002,0.3725750559067645,1.42798,2.55125,-2.4492935982947064e-16,1.0,-0.2393156642875578,0.970941817426052,1,0,0,0,0.0,0.34978,0.5491000000000001,0.6370825,True,False,False,False,False,False,False,False
2018-12-17,2018,51,3.15841,California,12,4,351,1,1,2.90103,2.55125,2.07785,2.72614,0.2473318099234279,2.55125,2.90103,2.470515,0.3464628454827452,2.07785,2.90103,2.1516275,0.42776130636305654,1.62584,2.90103,-2.4492935982947064e-16,1.0,-0.12053668025532363,0.992708874098054,1,0,0,0,0.0,0.25737999999999994,0.6071599999999999,0.6878950000000001,True,False,False,False,False,False,False,False
2018-12-24,2018,52,3.35655,California,12,4,358,1,1,3.15841,2.90103,2.35193,3.0297199999999997,0.1819951433417886,2.90103,3.15841,2.7406550000000003,0.3592681265665903,2.35193,3.15841,2.34319875,0.4963323056017296,1.76401,3.15841,-2.4492935982947064e-16,1.0,6.432490598706546e-16,1.0,1,0,0,0,0.0,0.19813999999999998,0.4555199999999999,0.6158949999999996,True,False,False,False,False,False,False,False
2019-01-07,2019,1,3.3413,California,1,1,7,1,1,3.35655,3.15841,2.55125,3.2574799999999997,0.14010613762429536,3.15841,3.35655,2.99181,0.3479104049416571,2.55125,3.35655,2.54226625,0.5475684555230778,1.86635,3.35655,0.49999999999999994,0.8660254037844387,0.12053668025532305,0.992708874098054,1,0,0,0,0.14285714285714285,-0.015249999999999986,0.18289,0.34948999999999986,True,False,False,False,False,False,False,False
2019-01-14,2019,2,3.14047,California,1,1,14,1,1,3.3413,3.35655,2.90103,3.3489249999999995,0.01078337841299819,3.3413,3.35655,3.1893225,0.21223441872530488,2.90103,3.35655,2.726635,0.535653934551031,2.07476,3.35655,0.49999999999999994,0.8660254037844387,0.23931566428755774,0.970941817426052,1,0,0,0,0.14285714285714285,-0.20082999999999984,-0.21607999999999983,-0.04885249999999974,True,False,False,False,False,False,False,False
2019-01-21,2019,3,2.87537,California,1,1,21,1,1,3.14047,3.3413,3.15841,3.2408849999999996,0.14200825486568758,3.14047,3.3413,3.2491825,0.11557316337138188,3.14047,3.35655,2.8598487500000003,0.4800040370793773,2.07785,3.35655,0.49999999999999994,0.8660254037844387,0.3546048870425356,0.9350162426854148,1,0,0,0,0.14285714285714285,-0.2650999999999999,-0.46592999999999973,-0.37381249999999966,True,False,False,False,False,False,False,False
